Designator,Mid X,Mid Y,Rotation,Layer
R91,163.6,-119.8,0.0,top
R92,54.8,-130.5,270.0,top
R93,65.89,-130.7,270.0,top
R94,74.0,-129.3,270.0,top
R95,84.1,-129.0,270.0,top
R96,91.8,-130.9,270.0,top
R97,101.2,-129.325,270.0,top
R98,109.8,-129.325,270.0,top
R99,120.0,-130.825,270.0,top
SW1,139.6,-112.6,180.0,top
SW10,128.0,-144.0,270.0,top
SW11,137.0,-144.0,270.0,top
SW12,146.0,-144.0,270.0,top
SW13,155.0,-144.0,270.0,top
SW14,164.0,-144.0,270.0,top
SW15,173.0,-144.0,270.0,top
SW16,182.0,-144.0,270.0,top
SW17,191.0,-144.0,270.0,top
SW18,200.0,-144.0,270.0,top
SW19,209.0,-144.0,270.0,top
SW2,56.0,-144.0,270.0,top
SW20,218.0,-144.0,270.0,top
SW21,227.0,-144.0,270.0,top
SW3,65.0,-144.0,270.0,top
SW4,74.0,-144.0,270.0,top
SW5,83.0,-144.0,270.0,top
SW6,92.0,-144.0,270.0,top
SW7,101.0,-144.0,270.0,top
SW8,110.0,-144.0,270.0,top
SW9,119.0,-144.0,270.0,top
U1,60.4,-136.2,180.0,top
U10,222.6,-136.6,180.0,top
U11,159.9,-114.8,270.0,top
U12,181.8,-115.575,270.0,top
U2,78.55,-136.6,180.0,top
U3,96.4,-136.8,180.0,top
U4,114.39,-136.8,180.0,top
U5,132.61,-136.8,180.0,top
U6,150.5,-137.2,180.0,top
U7,168.4,-137.0,180.0,top
U8,186.5,-136.95,180.0,top
U9,204.4,-136.8,180.0,top
